,participant,trial,offer,choice_key,choice_rt,rating_rt,rating_start,rating,choice_rej,choice_acc,offer_bin,rating_z,rating_delta,rating_fill,log_rt
0,54e32a60fdf99b3eae9de85b,0.0,5.0,left,2.1515,,12.0,,0.0,1.0,Medium,,,,0.7661652732965173
1,54e32a60fdf99b3eae9de85b,1.0,3.0,left,1.1463,,50.0,,0.0,1.0,Low,,,,0.136539364138827
2,54e32a60fdf99b3eae9de85b,2.0,8.0,left,1.1505,,50.0,,0.0,1.0,High,,,,0.1401966304932836
3,54e32a60fdf99b3eae9de85b,3.0,4.0,left,0.7025,2.7182,42.0,22.0,0.0,1.0,Medium,-0.10273685615837246,-20.0,-20.0,-0.3531098777742362
4,54e32a60fdf99b3eae9de85b,4.0,6.0,left,2.1044,,9.0,,0.0,1.0,Medium,,,-20.0,0.7440303908745152
5,54e32a60fdf99b3eae9de85b,5.0,9.0,left,0.458,,39.0,,0.0,1.0,High,,,-20.0,-0.780886094867952
6,54e32a60fdf99b3eae9de85b,6.0,4.0,left,3.4047,,40.0,,0.0,1.0,Medium,,,-20.0,1.225156829993066
7,54e32a60fdf99b3eae9de85b,7.0,2.0,left,0.4475,2.5499,50.0,15.0,0.0,1.0,Low,-1.2091337686331551,-35.0,-35.0,-0.804078741267227
8,54e32a60fdf99b3eae9de85b,8.0,8.0,left,2.9984,,30.0,,0.0,1.0,High,,,-35.0,1.098078813061966
9,54e32a60fdf99b3eae9de85b,9.0,4.0,left,1.3139,2.5184,50.0,30.0,0.0,1.0,Medium,1.161716758098522,-20.0,-20.0,0.2729998136656394
10,54e32a60fdf99b3eae9de85b,10.0,5.0,left,1.5327,,50.0,,0.0,1.0,Medium,,,-20.0,0.4270308860227249
11,54e32a60fdf99b3eae9de85b,11.0,8.0,left,2.9448,,33.0,,0.0,1.0,High,,,-20.0,1.0800409030826743
12,54e32a60fdf99b3eae9de85b,12.0,5.0,left,5.4579,,29.0,,0.0,1.0,Medium,,,-20.0,1.6970641003887306
13,54e32a60fdf99b3eae9de85b,13.0,5.0,left,2.2978,115.0863,34.0,24.0,0.0,1.0,Medium,0.21337654740585116,-10.0,-10.0,0.8319521434371274
14,54e32a60fdf99b3eae9de85b,14.0,7.0,left,1.0882,,27.0,,0.0,1.0,High,,,-10.0,0.08452495506968796
15,54e32a60fdf99b3eae9de85b,15.0,6.0,left,2.4965,,23.0,,0.0,1.0,Medium,,,-10.0,0.914889750958527
16,54e32a60fdf99b3eae9de85b,16.0,5.0,left,1.9852,7.4833,44.0,29.0,0.0,1.0,Medium,1.0036600563164102,-15.0,-15.0,0.6857196647311488
17,54e32a60fdf99b3eae9de85b,17.0,2.0,left,2.6625,,9.0,,0.0,1.0,Low,,,-15.0,0.9792655310355435
18,54e32a60fdf99b3eae9de85b,18.0,4.0,left,0.8182,,11.0,,0.0,1.0,Medium,,,-15.0,-0.2006484734868388
19,54e32a60fdf99b3eae9de85b,19.0,2.0,left,21.7119,37.0667,50.0,20.0,0.0,1.0,Low,-0.4188502597225961,-30.0,-30.0,3.0778604973339334
20,54e32a60fdf99b3eae9de85b,20.0,5.0,left,1.1578,,50.0,,0.0,1.0,Medium,,,-30.0,0.14652165266276715
21,54e32a60fdf99b3eae9de85b,21.0,7.0,left,5.0781,8.3816,37.0,27.0,0.0,1.0,High,0.6875466527521866,-10.0,-10.0,1.6249371758810243
22,54e32a60fdf99b3eae9de85b,22.0,6.0,left,8.4018,,30.0,,0.0,1.0,Medium,,,-10.0,2.1284459686076493
23,54e32a60fdf99b3eae9de85b,23.0,6.0,left,5.1396,3.3979,15.0,20.0,0.0,1.0,Medium,-0.4188502597225961,5.0,5.0,1.6369752554271886
24,54e32a60fdf99b3eae9de85b,24.0,1.0,left,10.1682,,50.0,,0.0,1.0,Low,,,5.0,2.3192652032452443
25,54e32a60fdf99b3eae9de85b,25.0,1.0,left,1.6147,,50.0,,0.0,1.0,Low,,,5.0,0.47914918090543834
26,54e32a60fdf99b3eae9de85b,26.0,9.0,left,1.2546,10.2836,50.0,30.0,0.0,1.0,High,1.161716758098522,-20.0,-20.0,0.22681679668050578
27,54e32a60fdf99b3eae9de85b,27.0,3.0,left,2.9523,,26.0,,0.0,1.0,Low,,,-20.0,1.0825845275909125
28,54e32a60fdf99b3eae9de85b,28.0,7.0,left,6.4857,,50.0,,0.0,1.0,High,,,-20.0,1.8695997533463913
29,54e32a60fdf99b3eae9de85b,29.0,3.0,left,3.1238,18.5527,50.0,25.0,0.0,1.0,Low,0.371433249187963,-25.0,-25.0,1.1390502094414852
30,54e32a60fdf99b3eae9de85b,0.0,5.0,left,1.2973,,50.0,,0.0,1.0,Medium,,,-25.0,0.2602851815948296
31,54e32a60fdf99b3eae9de85b,1.0,4.0,left,2.5295,,19.0,,0.0,1.0,Medium,,,-25.0,0.9280216547498538
